Resume ID,Skills,Years of Experience,Education,Certifications,Projects,Job Role
1,"Data Modeling, NoSQL, MySQL, Security, Oracle",6,B.E. Information Technology,"AWS Certified Solutions Architect, Google Data Analytics, Oracle SQL Expert","Data Backup System, Database Optimization",Database Administrator
2,"Data Structures, Python, Git, Algorithms, System Design",1,MCA,React Certification,"REST API Development, Library Management System",Software Engineer
3,"Terraform, Azure, Google Cloud, Linux, AWS, Cloud Security, Kubernetes, Docker",9,B.Sc Computer Science,"Oracle SQL Expert, Certified Ethical Hacker",Multi-cloud Deployment,Cloud Engineer
4,"AWS, Kubernetes, Terraform, CI/CD, Linux, Docker, Ansible, Monitoring Tools",6,B.E. Information Technology,"Tableau Desktop Specialist, TensorFlow Developer Certificate, Google Data Analytics",Infrastructure Automation,DevOps Engineer
5,"UML, Stakeholder Communication, Requirement Gathering, Data Analysis, SQL",7,MCA,"Oracle SQL Expert, Tableau Desktop Specialist","Sales Dashboard, Product Requirement Doc",Business Analyst
6,"Docker, AWS, Kubernetes, CI/CD, Monitoring Tools",8,M.Tech IT,"Google Data Analytics, DevOps Foundation, TensorFlow Developer Certificate",Kubernetes Cluster Deployment,DevOps Engineer
7,"Flutter, UI/UX Design, Kotlin, iOS, React Native",0,M.Tech IT,Tableau Desktop Specialist,"Fitness Tracker, ToDo App",Mobile App Developer
8,"Deep Learning, TensorFlow, Computer Vision, Python, Data Preprocessing, PyTorch, NLP",9,B.E. Information Technology,Certified Ethical Hacker,"Chatbot Development, Object Detection System",AI/ML Engineer
9,"Data Visualization, Pandas, R, SQL, Scikit-learn, Statistics, Python, Machine Learning",10,B.Tech CSE,"Google Data Analytics, Scrum Master",Sentiment Analysis,Data Scientist
10,"React, Express, Responsive Design, JavaScript, MongoDB, CSS, Node.js",1,M.Tech IT,"Certified Ethical Hacker, Google Data Analytics, AWS Certified Solutions Architect","Portfolio Website, E-commerce Frontend",Web Developer
11,"HTML, Node.js, Express, JavaScript, MongoDB, CSS, React, Responsive Design",0,B.Tech CSE,"Scrum Master, DevOps Foundation","Portfolio Website, Blog CMS",Web Developer
12,"Azure, Google Cloud, Docker, Kubernetes, Cloud Security",1,B.Sc Computer Science,TensorFlow Developer Certificate,Cloud Cost Optimization,Cloud Engineer
13,"Kubernetes, CI/CD, Terraform, Docker, Linux, AWS, Monitoring Tools, Ansible",5,M.Tech IT,"AWS Certified Solutions Architect, Scrum Master, React Certification","Infrastructure Automation, Kubernetes Cluster Deployment",DevOps Engineer
14,"SQL, UML, Excel, Requirement Gathering, Stakeholder Communication, Power BI",0,B.Tech CSE,AWS Certified Solutions Architect,"Market Research Analysis, Product Requirement Doc",Business Analyst
15,"Security, SQL, MySQL, Oracle, Data Modeling, Backup and Recovery, Database Tuning, NoSQL",7,B.Sc Computer Science,DevOps Foundation,"Database Optimization, Data Backup System",Database Administrator
16,"Cryptography, SIEM, Firewalls, Python, Incident Response",1,B.E. Information Technology,"Certified Ethical Hacker, React Certification, Oracle SQL Expert","Security Audit, Firewall Configuration",Cybersecurity Analyst
17,"React Native, Android, Swift, Flutter, Kotlin",7,B.Tech CSE,"Tableau Desktop Specialist, React Certification",Chat Application,Mobile App Developer
18,"Computer Vision, Machine Learning, NLP, TensorFlow, Deep Learning, Python",3,M.Tech IT,"Oracle SQL Expert, Tableau Desktop Specialist, Certified Ethical Hacker",Chatbot Development,AI/ML Engineer
19,"Kotlin, Java, Android, React Native, Swift, UI/UX Design, Flutter",6,B.Tech CSE,Scrum Master,ToDo App,Mobile App Developer
20,"Node.js, React, Express, JavaScript, MongoDB, Responsive Design",9,M.Tech IT,Certified Ethical Hacker,"E-commerce Frontend, Portfolio Website",Web Developer
21,"Google Cloud, Cloud Security, Azure, Terraform, Linux, Kubernetes, Docker, AWS",7,B.Sc Computer Science,Certified Ethical Hacker,Serverless Architecture,Cloud Engineer
22,"SQL, Tableau, Excel, Stakeholder Communication, Power BI, Data Analysis",9,M.Tech IT,Tableau Desktop Specialist,"Market Research Analysis, Product Requirement Doc",Business Analyst
23,"Database Tuning, Security, NoSQL, Oracle, Backup and Recovery, MySQL",9,B.E. Information Technology,Scrum Master,"Inventory DB Design, Data Backup System",Database Administrator
24,"Docker, Kubernetes, AWS, Google Cloud, Azure, Cloud Security",3,B.Sc Computer Science,"React Certification, Microsoft Azure Fundamentals","Cloud Cost Optimization, Multi-cloud Deployment",Cloud Engineer
25,"Java, Python, System Design, Data Structures, SQL, Git, C++, Algorithms",3,B.Sc Computer Science,Certified Ethical Hacker,"REST API Development, Library Management System",Software Engineer
26,"MySQL, Security, NoSQL, Data Modeling, SQL, Backup and Recovery, Database Tuning, Oracle",4,MCA,"Tableau Desktop Specialist, Google Data Analytics, Scrum Master",Inventory DB Design,Database Administrator
27,"UML, Data Analysis, Excel, Requirement Gathering, Stakeholder Communication",10,B.Sc Computer Science,"DevOps Foundation, Tableau Desktop Specialist",Product Requirement Doc,Business Analyst
28,"UML, Stakeholder Communication, SQL, Requirement Gathering, Excel",7,M.Tech IT,"Oracle SQL Expert, Tableau Desktop Specialist, AWS Certified Solutions Architect",Product Requirement Doc,Business Analyst
29,"Responsive Design, React, JavaScript, HTML, MongoDB",1,B.Tech CSE,"Scrum Master, DevOps Foundation",Blog CMS,Web Developer
30,"React Native, Kotlin, Swift, Flutter, Java, UI/UX Design, iOS",0,M.Tech IT,"React Certification, Google Data Analytics, Tableau Desktop Specialist",Chat Application,Mobile App Developer
31,"MongoDB, Responsive Design, React, JavaScript, CSS, Node.js",9,B.Sc Computer Science,AWS Certified Solutions Architect,E-commerce Frontend,Web Developer
32,"NoSQL, Oracle, MySQL, Security, Data Modeling, SQL, Backup and Recovery",10,B.Sc Computer Science,"Tableau Desktop Specialist, Certified Ethical Hacker, TensorFlow Developer Certificate","Data Backup System, Database Optimization",Database Administrator
33,"Firewalls, Network Security, Penetration Testing, Python, Incident Response, SIEM",7,B.Tech CSE,Scrum Master,"Security Audit, Vulnerability Assessment",Cybersecurity Analyst
34,"Excel, SQL, Stakeholder Communication, Data Analysis, Tableau, Power BI",3,B.Tech CSE,"Scrum Master, TensorFlow Developer Certificate",Sales Dashboard,Business Analyst
35,"Data Analysis, SQL, Tableau, UML, Power BI",0,MCA,Google Data Analytics,Market Research Analysis,Business Analyst
36,"CI/CD, Terraform, Ansible, Docker, Monitoring Tools",5,B.Tech CSE,"AWS Certified Solutions Architect, DevOps Foundation, TensorFlow Developer Certificate","CI/CD Pipeline Setup, Kubernetes Cluster Deployment",DevOps Engineer
37,"Java, React Native, Android, Flutter, Kotlin, UI/UX Design, iOS",8,M.Tech IT,"DevOps Foundation, Scrum Master",Chat Application,Mobile App Developer
38,"Machine Learning, PyTorch, NLP, Computer Vision, Data Preprocessing, Python, Deep Learning, TensorFlow",0,MCA,React Certification,"Image Classification, Chatbot Development",AI/ML Engineer
39,"Java, Flutter, Kotlin, UI/UX Design, Swift, iOS, Android",7,MCA,AWS Certified Solutions Architect,"ToDo App, Fitness Tracker",Mobile App Developer
40,"Kubernetes, Google Cloud, Cloud Security, Linux, Docker, Terraform",9,M.Tech IT,"TensorFlow Developer Certificate, Oracle SQL Expert","Multi-cloud Deployment, Cloud Cost Optimization",Cloud Engineer
41,"NLP, Data Preprocessing, Deep Learning, PyTorch, Python, TensorFlow",3,B.E. Information Technology,"Google Data Analytics, DevOps Foundation","Chatbot Development, Object Detection System",AI/ML Engineer
42,"Penetration Testing, Incident Response, Python, Cryptography, Firewalls, Network Security, Risk Assessment, SIEM",0,MCA,Microsoft Azure Fundamentals,Security Audit,Cybersecurity Analyst
43,"Python, NLP, TensorFlow, Computer Vision, Machine Learning, Data Preprocessing, Deep Learning",3,B.Tech CSE,"Google Data Analytics, AWS Certified Solutions Architect, React Certification","Object Detection System, Chatbot Development",AI/ML Engineer
44,"Risk Assessment, Firewalls, SIEM, Python, Cryptography, Incident Response, Network Security, Penetration Testing",10,B.Tech CSE,"Certified Ethical Hacker, DevOps Foundation","Vulnerability Assessment, Security Audit",Cybersecurity Analyst
45,"Kubernetes, Azure, Terraform, Linux, Cloud Security",2,B.Tech CSE,"Tableau Desktop Specialist, Scrum Master, Oracle SQL Expert","Serverless Architecture, Cloud Cost Optimization",Cloud Engineer
46,"Firewalls, Risk Assessment, Python, Incident Response, Penetration Testing, Cryptography, Network Security",3,B.Tech CSE,"Certified Ethical Hacker, Microsoft Azure Fundamentals, Scrum Master","Vulnerability Assessment, Firewall Configuration",Cybersecurity Analyst
47,"NLP, Deep Learning, Data Preprocessing, Machine Learning, PyTorch",3,MCA,Scrum Master,"Image Classification, Object Detection System",AI/ML Engineer
48,"Algorithms, Git, System Design, Java, Python, C++, Data Structures, SQL",7,B.Sc Computer Science,DevOps Foundation,Library Management System,Software Engineer
49,"Machine Learning, Computer Vision, Data Preprocessing, NLP, PyTorch, TensorFlow, Deep Learning, Python",10,B.E. Information Technology,"Tableau Desktop Specialist, Microsoft Azure Fundamentals, AWS Certified Solutions Architect",Chatbot Development,AI/ML Engineer
50,"TensorFlow, Computer Vision, Deep Learning, PyTorch, Python, NLP, Machine Learning, Data Preprocessing",0,M.Tech IT,Oracle SQL Expert,Chatbot Development,AI/ML Engineer
51,"Python, System Design, Java, Algorithms, SQL",9,M.Tech IT,"Certified Ethical Hacker, TensorFlow Developer Certificate","REST API Development, Library Management System",Software Engineer
52,"Cryptography, Python, Penetration Testing, Incident Response, Risk Assessment, SIEM, Firewalls",4,B.Sc Computer Science,React Certification,"Firewall Configuration, Vulnerability Assessment",Cybersecurity Analyst
53,"SQL, NoSQL, Oracle, Data Modeling, Security, Backup and Recovery",10,B.E. Information Technology,"Tableau Desktop Specialist, DevOps Foundation, Google Data Analytics",Database Optimization,Database Administrator
54,"Network Security, Cryptography, Firewalls, Incident Response, Risk Assessment, SIEM, Python, Penetration Testing",4,B.Sc Computer Science,Microsoft Azure Fundamentals,Firewall Configuration,Cybersecurity Analyst
55,"Kubernetes, Google Cloud, AWS, Terraform, Linux, Azure, Cloud Security, Docker",4,B.Sc Computer Science,"React Certification, Tableau Desktop Specialist, Microsoft Azure Fundamentals","Multi-cloud Deployment, Cloud Cost Optimization",Cloud Engineer
56,"PyTorch, TensorFlow, Machine Learning, NLP, Deep Learning, Data Preprocessing, Python",3,MCA,"AWS Certified Solutions Architect, React Certification, DevOps Foundation",Image Classification,AI/ML Engineer
57,"Ansible, Kubernetes, CI/CD, AWS, Linux",7,B.E. Information Technology,"React Certification, TensorFlow Developer Certificate, DevOps Foundation",Kubernetes Cluster Deployment,DevOps Engineer
58,"UML, SQL, Stakeholder Communication, Tableau, Excel, Data Analysis, Power BI, Requirement Gathering",1,B.Sc Computer Science,DevOps Foundation,Product Requirement Doc,Business Analyst
59,"Statistics, R, Machine Learning, Python, Data Visualization, SQL, Scikit-learn",3,B.E. Information Technology,"Microsoft Azure Fundamentals, Google Data Analytics, Oracle SQL Expert",Sales Forecasting,Data Scientist
60,"Linux, Cloud Security, Terraform, Azure, Google Cloud, Docker, Kubernetes, AWS",3,B.E. Information Technology,"Scrum Master, AWS Certified Solutions Architect, Google Data Analytics","Multi-cloud Deployment, Serverless Architecture",Cloud Engineer
61,"Statistics, Pandas, Machine Learning, R, Scikit-learn",9,B.Sc Computer Science,"DevOps Foundation, React Certification",Customer Segmentation,Data Scientist
62,"Penetration Testing, Cryptography, Risk Assessment, Incident Response, Network Security, Firewalls, Python",6,B.E. Information Technology,Oracle SQL Expert,Firewall Configuration,Cybersecurity Analyst
63,"Computer Vision, Python, Data Preprocessing, TensorFlow, Deep Learning, NLP, PyTorch, Machine Learning",5,MCA,Oracle SQL Expert,"Chatbot Development, Object Detection System",AI/ML Engineer
64,"SQL, Stakeholder Communication, UML, Excel, Tableau, Requirement Gathering",2,B.Tech CSE,React Certification,Product Requirement Doc,Business Analyst
65,"Data Modeling, MySQL, Database Tuning, Backup and Recovery, SQL, NoSQL",7,B.Sc Computer Science,"Google Data Analytics, TensorFlow Developer Certificate, Certified Ethical Hacker",Database Optimization,Database Administrator
66,"Machine Learning, Data Visualization, SQL, R, Scikit-learn",6,M.Tech IT,Scrum Master,Customer Segmentation,Data Scientist
67,"Computer Vision, Deep Learning, TensorFlow, NLP, Data Preprocessing, Machine Learning, Python",1,B.E. Information Technology,"Scrum Master, React Certification, AWS Certified Solutions Architect","Chatbot Development, Image Classification",AI/ML Engineer
68,"Azure, Terraform, Docker, AWS, Kubernetes, Linux",10,B.E. Information Technology,"TensorFlow Developer Certificate, Certified Ethical Hacker, Tableau Desktop Specialist",Serverless Architecture,Cloud Engineer
69,"iOS, Swift, Java, React Native, Kotlin",8,MCA,TensorFlow Developer Certificate,Fitness Tracker,Mobile App Developer
70,"Java, SQL, Git, C++, Python, Data Structures",10,B.E. Information Technology,"React Certification, Tableau Desktop Specialist","Library Management System, REST API Development",Software Engineer
71,"Machine Learning, Pandas, SQL, Data Visualization, Scikit-learn, Statistics, R, Python",6,MCA,Scrum Master,Customer Segmentation,Data Scientist
72,"Tableau, Power BI, Stakeholder Communication, UML, SQL, Excel",3,B.Tech CSE,TensorFlow Developer Certificate,"Sales Dashboard, Product Requirement Doc",Business Analyst
73,"React, Responsive Design, JavaScript, Node.js, Express, MongoDB",1,B.E. Information Technology,"React Certification, DevOps Foundation, TensorFlow Developer Certificate",Portfolio Website,Web Developer
74,"React, Responsive Design, MongoDB, JavaScript, Express, HTML",5,B.Tech CSE,Oracle SQL Expert,E-commerce Frontend,Web Developer
75,"Cryptography, Network Security, Risk Assessment, Firewalls, SIEM, Penetration Testing",3,M.Tech IT,"AWS Certified Solutions Architect, Tableau Desktop Specialist, Microsoft Azure Fundamentals","Security Audit, Vulnerability Assessment",Cybersecurity Analyst
76,"Python, Data Visualization, Statistics, R, SQL",8,M.Tech IT,"React Certification, DevOps Foundation","Sales Forecasting, Sentiment Analysis",Data Scientist
77,"Power BI, Data Analysis, Excel, Stakeholder Communication, SQL, Tableau",10,B.Tech CSE,Oracle SQL Expert,"Market Research Analysis, Product Requirement Doc",Business Analyst
78,"SQL, UML, Excel, Tableau, Requirement Gathering",7,B.Tech CSE,"Scrum Master, Tableau Desktop Specialist",Sales Dashboard,Business Analyst
79,"Java, SQL, Git, Algorithms, Data Structures, Python, System Design, C++",9,M.Tech IT,"Google Data Analytics, Scrum Master, Tableau Desktop Specialist","REST API Development, Library Management System",Software Engineer
80,"Android, iOS, UI/UX Design, Flutter, React Native, Kotlin, Swift, Java",3,B.Tech CSE,"Certified Ethical Hacker, Google Data Analytics, Tableau Desktop Specialist","Fitness Tracker, Chat Application",Mobile App Developer
81,"Excel, Tableau, Requirement Gathering, UML, Data Analysis",0,B.Sc Computer Science,Oracle SQL Expert,"Sales Dashboard, Product Requirement Doc",Business Analyst
82,"Machine Learning, Data Visualization, Python, Statistics, Pandas, Scikit-learn, R, SQL",2,B.E. Information Technology,Microsoft Azure Fundamentals,Customer Segmentation,Data Scientist
